STATUS	https://gamesdb.launchbox-app.com/	200
STATUS	https://gamesdb.launchbox-app.com/Metadata.zip	200
STATUS	https://images.launchbox-app.com/	404
STATUS	https://gamesdb.launchbox-app.com/games/search?search=pokemon	200
GAME	463299	Pokémon Evo-Yellow	Nintendo Game Boy
GAME	173894	Pokémon Extra	Nintendo Game Boy Advance
GAME	173892	Pokémon Extreme Red	Nintendo Game Boy Advance
GAME	207220	Pokémon Factory Adventure	Nintendo Game Boy Color
GAME	173890	Pokémon Fantasia	Nintendo Game Boy Advance
GAME	463050	Pokémon Faria Version	Nintendo Game Boy Advance
GAME	173888	Pokémon Fat Kid	Nintendo Game Boy Advance
GAME	173887	Pokémon Final Red	Nintendo Game Boy Advance
GAME	173886	Pokémon Fire Blast	Nintendo Game Boy Advance
GAME	423007	Pokémon Fire Gold 	Nintendo Game Boy Advance
GAME	443861	Pokémon Fire Red Extended	Nintendo Game Boy Advance
GAME	423018	Pokémon Fire Red Legacy	Nintendo Game Boy Advance
GAME	463052	Pokémon Fire Red Legends	Nintendo Game Boy Advance
GAME	451436	Pokémon Fire Red Multiverse	Nintendo Game Boy Advance
GAME	197826	Pokémon Fire Red Omega	Nintendo Game Boy Advance
GAME	421176	Pokémon Fire of Victory	Nintendo Game Boy Advance
GAME	173884	Pokémon FireRed Backwards Edition	Nintendo Game Boy Advance
GAME	463079	Pokémon FireRed Bill's Secret Garden	Nintendo Game Boy Advance
GAME	173883	Pokémon FireRed Evolution	Nintendo Game Boy Advance
GAME	463084	Pokémon FireRed Reignited	Nintendo Game Boy Advance
GAME	165406	Pokémon FireRed Remixed	Nintendo Game Boy Advance
GAME	184862	Pokémon FireRed Rocket Edition	Nintendo Game Boy Advance
GAME	3490	Pokémon FireRed Version	Nintendo Game Boy Advance
GAME	468156	Pokémon FireRed: VR Missions	Nintendo Game Boy Advance
GAME	174549	Pokémon Flare	Nintendo Game Boy Advance
GAME	128817	Pokémon Flora Sky	Nintendo Game Boy Advance
GAME	212772	Pokémon Fool's Gold	Nintendo Game Boy Color
GAME	463303	Pokémon Forever Yellow	Nintendo Game Boy
GAME	128819	Pokémon Fuligin	Nintendo Game Boy Advance
GAME	417967	Pokémon Fusion Origins	Nintendo Game Boy Advance
GAME	194615	Pokémon GS Chronicles	Nintendo Game Boy Advance
GAME	155525	Pokémon Gaia	Nintendo Game Boy Advance
GAME	172157	Pokémon Galacta	Nintendo Game Boy Advance
GAME	478474	Pokémon Gauntlet Gold	Nintendo Game Boy Color
GAME	423008	Pokémon Genesis	Nintendo Game Boy Advance
GAME	173456	Pokémon Giratina Strikes Back	Nintendo Game Boy Advance
GAME	213496	Pokémon Girls Hunter	Nintendo Game Boy Advance
GAME	213497	Pokémon Girls Hunter 2	Nintendo Game Boy Advance
GAME	213498	Pokémon Girls Hunter Halloween 	Nintendo Game Boy Advance
GAME	128291	Pokémon Glazed	Nintendo Game Boy Advance
GAME	423016	Pokémon Glimmering Emerald	Nintendo Game Boy Advance
GAME	206917	Pokémon God of Arena	Nintendo Game Boy Color
GAME	207791	Pokémon Gold 97: Reforged	Nintendo Game Boy Color
GAME	478479	Pokémon Gold Sinnoh	Nintendo Game Boy Color
GAME	478717	Pokémon Gold Unova	Nintendo Game Boy Color
GAME	2360	Pokémon Gold Version	Nintendo Game Boy Color
GAME	165402	Pokémon Gold Version (Spaceworld 1997 Demo)	Nintendo Game Boy
GAME	468526	Pokémon Grand Dad Version	Nintendo Game Boy Advance
GAME	209622	Pokémon Grape	Nintendo Game Boy
GAME	455671	Pokémon Green Version	Nintendo Game Boy
GAME	182091	Pokémon Grey	Nintendo Game Boy
GAME	172160	Pokémon HarvestCraft	Nintendo Game Boy Advance
GAME	462955	Pokémon Heart & Soul	Nintendo Game Boy Advance
GAME	158678	Pokémon Hoenn Adventures	Nintendo Game Boy Advance
